month,airline_id,carrier,carrier_name,total_gallons,total_cost,year
8,20287.0,WP,Island Air Hawaii,97531.0,173454,2015
2,20310.0,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",61164.0,253856,2018
10,20436.0,F9,Frontier Airlines Inc.,16936487.0,24008936,2015
3,20422.0,SY,Sun Country Airlines d/b/a MN Airlines,7433108.0,18341680,2019
2,20436.0,F9,Frontier Airlines Inc.,15240623.0,14937147,2016
6,19917.0,5X,United Parcel Service,59915000.0,109371000,2015
6,20355.0,US,US Airways Inc.,107949448.0,202677995,2015
7,20304.0,OO,SkyWest Airlines Inc.,6489965.0,11647680,2016
8,20151.0,M6,Amerijet International,1848240.0,3351106,2017
8,20007.0,5Y,Atlas Air Inc.,46091262.0,101292125,2018
9,21161.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",1995932.0,3843836,2018
6,19687.0,QX,Horizon Air,0.0,0,2017
11,20436.0,F9,Frontier Airlines Inc.,17411106.0,24363325,2015
6,20363.0,9E,Endeavor Air Inc.,0.0,0,2019
6,20377.0,X9,Omni Air International LLC,3496231.0,8303766,2019
7,20452.0,YX,Republic Airline,0.0,0,2017
10,20287.0,WP,Island Air Hawaii,104172.0,158457,2015
4,20107.0,FX,Federal Express Corporation,93075082.0,191069221,2018
3,21161.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2539355.0,6194166,2018
10,20107.0,FX,Federal Express Corporation,103132330.0,240850000,2018
12,20372.0,KLQ,Kalitta Charters II,174519.0,417702,2017
2,19874.0,8C,Air Transport International,721330.0,1532210,2018
8,19790.0,DL,Delta Air Lines Inc.,329584040.0,603720416,2015
3,20195.0,WI,Sky Lease Cargo,0.0,0,2015
1,19687.0,QX,Horizon Air,0.0,0,2019
7,20100.0,PO,Polar Air Cargo Airways,16608663.0,36079846,2018
9,20377.0,X9,Omni Air International LLC,3417228.0,8420240,2018
7,20422.0,SY,Sun Country Airlines d/b/a MN Airlines,5221057.0,8642771,2016
7,19874.0,8C,Air Transport International,860060.0,2301740,2019
1,21492.0,1BQ,"Dynamic Airways, LLC",219309.0,1541032,2017
10,21645.0,23Q,Songbird Airways Inc.,100942.0,200824,2016
10,20436.0,F9,Frontier Airlines Inc.,21509022.0,37093695,2017
11,19790.0,DL,Delta Air Lines Inc.,263318204.0,648932844,2018
7,20448.0,S5,Shuttle America Corp.,4897404.0,6728261,2016
9,20452.0,YX,Republic Airline,0.0,0,2017
3,20046.0,ZW,Air Wisconsin Airlines Corp,3417.0,11510,2017
2,20177.0,PFQ,Asia Pacific,267200.0,559539,2017
4,21161.0,09Q,"Swift Air, LLC",379161.0,659432,2016
7,19930.0,AS,Alaska Airlines Inc.,39261441.0,78346872,2015
4,20177.0,PFQ,Asia Pacific,389461.0,900577,2019
3,20151.0,M6,Amerijet International,2328831.0,5102866,2019
11,20190.0,9S,Southern Air Inc.,8354440.0,20167664,2018
12,20409.0,B6,JetBlue Airways,66674932.0,106084293,2016
12,21352.0,0WQ,Avjet Corporation,178097.0,469356,2015
7,21492.0,1BQ,"Dynamic Airways, LLC",0.0,0,2016
4,20409.0,B6,JetBlue Airways,57363395.0,115638233,2015
6,20370.0,KAQ,Kalitta Air LLC,3675460.0,7783803,2015
8,20370.0,KAQ,Kalitta Air LLC,6009584.0,14766779,2018
6,20177.0,PFQ,Asia Pacific,271285.0,511364,2017
11,20398.0,MQ,Envoy Air,0.0,0,2015
7,19790.0,DL,Delta Air Lines Inc.,333299312.0,493229453,2016
9,20405.0,N8,National Air Cargo Group Inc d/ba National Airlines,1060622.0,1988548,2016
10,19687.0,QX,Horizon Air,0.0,0,2016
3,20416.0,NK,Spirit Air Lines,27840616.0,48421086,2017
11,19690.0,HA,Hawaiian Airlines Inc.,19556847.0,28567162,2016
2,20108.0,NC,Northern Air Cargo Inc.,436015.0,972401,2018
6,20405.0,N8,National Air Cargo Group Inc d/ba National Airlines,457022.0,796043,2016
7,20436.0,F9,Frontier Airlines Inc.,17161435.0,32571491,2015
9,20310.0,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",286478.0,43411,2018
8,21171.0,VX,Virgin America,18440655.0,29785921,2017
1,20448.0,S5,Shuttle America Corp.,3793819.0,3841009,2016
4,20370.0,KAQ,Kalitta Air LLC,3280106.0,6372325,2015
12,21167.0,CP,Compass Airlines,0.0,0,2018
7,20500.0,G7,GoJet Airlines LLC d/b/a United Express,0.0,0,2015
12,21352.0,0WQ,Avjet Corporation,24221.0,78476,2016
2,21352.0,0WQ,Avjet Corporation,150009.0,499921,2015
10,19790.0,DL,Delta Air Lines Inc.,290657760.0,552229834,2017
1,20398.0,MQ,Envoy Air,0.0,0,2019
9,20046.0,ZW,Air Wisconsin Airlines Corp,6636047.0,10897010,2015
12,19874.0,8C,Air Transport International,766493.0,1713994,2017
8,20405.0,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",857599.0,2217327,2015
1,20190.0,9S,Southern Air Inc.,6098523.0,12806900,2016
7,19690.0,HA,Hawaiian Airlines Inc.,22875940.0,33777714,2017
3,20166.0,GFQ,Gulf And Caribbean Cargo,348144.0,845278,2018
7,21171.0,VX,Virgin America,17894585.0,24910500,2016
3,20370.0,KAQ,Kalitta Air LLC,4632109.0,9840826,2018
9,20378.0,YV,Mesa Airlines Inc.,0.0,0,2017
3,20046.0,ZW,Air Wisconsin Airlines Corp,6624096.0,12971802,2015
3,20409.0,B6,JetBlue Airways,58064503.0,122733998,2015
7,20453.0,ABX,ABX Air Inc,35785.0,64195,2017
11,21171.0,VX,Virgin America,16587348.0,23530692,2016
11,20416.0,NK,Spirit Air Lines,25214102.0,39655872,2016
4,20378.0,YV,Mesa Airlines Inc.,0.0,0,2016
5,20190.0,9S,Southern Air Inc.,6371833.0,15228319,2018
3,20436.0,F9,Frontier Airlines Inc.,21438371.0,40488501,2018
9,20149.0,PRQ,Florida West Airlines Inc.,0.0,0,2015
11,20363.0,9E,Endeavor Air Inc.,0.0,0,2017
6,20007.0,5Y,Atlas Air Inc.,45657707.0,105340460,2018
5,20409.0,B6,JetBlue Airways,72693063.0,169993298,2018
3,20366.0,EV,ExpressJet Airlines Inc.,0.0,0,2019
1,20100.0,PO,Polar Air Cargo Airways,16104914.0,25484154,2017
6,20151.0,M6,Amerijet International,2190840.0,4735681,2019
9,21629.0,KD,Western Global,127867.0,127867,2016
3,20370.0,KAQ,Kalitta Air LLC,3440566.0,6234741,2017
10,19393.0,WN,Southwest Airlines Co.,176928962.0,390252215,2018
11,20447.0,U7,USA Jet Airlines Inc.,566794.0,912929,2015
7,21629.0,KD,Western Global,1993708.0,4427514,2017
3,20402.0,GL,Miami Air International,786515.0,1801749,2017
3,20355.0,US,US Airways Inc.,95131575.0,167220308,2015
8,19790.0,DL,Delta Air Lines Inc.,344620993.0,752331133,2018
1,20007.0,5Y,Atlas Air Inc.,24809190.0,44370847,2016
7,20100.0,PO,Polar Air Cargo Airways,14443695.0,22203604,2016
6,21634.0,KH,Aloha Air Cargo,448352.0,845554,2015
10,20195.0,WI,Sky Lease Cargo,854555.0,2147303,2018
2,20422.0,SY,Sun Country Airlines d/b/a MN Airlines,4954726.0,9785095,2015
4,19930.0,AS,Alaska Airlines Inc.,35882825.0,70494201,2015
7,20453.0,ABX,ABX Air Inc,183134.0,448385,2018
8,20422.0,SY,Sun Country Airlines d/b/a MN Airlines,7081536.0,14431430,2019
2,20366.0,EV,ExpressJet Airlines Inc.,0.0,0,2018
2,20453.0,ABX,ABX Air Inc,147714.0,0,2019
10,21629.0,KD,Western Global,1874135.0,1874135,2016
8,20398.0,MQ,Envoy Air,0.0,0,2016
10,19393.0,WN,Southwest Airlines Co.,158326581.0,258329294,2015
8,19930.0,AS,Alaska Airlines Inc.,39206246.0,69336410,2015
3,20405.0,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",596769.0,1373110,2015
9,20169.0,L2,Lynden Air Cargo Airlines,247765.0,592608,2017
8,20452.0,YX,Republic Airlines,14684188.0,23058025,2015
12,20372.0,KLQ,Kalitta Charters II,181653.0,339452,2015
4,20368.0,G4,Allegiant Air,12232341.0,23788422,2015
1,20007.0,5Y,Atlas Air Inc.,30535372.0,55382146,2017
4,20100.0,PO,Polar Air Cargo Airways,14046615.0,27966203,2019
2,21974.0,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",0.0,0,2019
12,20166.0,GFQ,Gulf And Caribbean Cargo,320450.0,653339,2016
11,20405.0,N8,National Air Cargo Group Inc d/ba National Airlines,338310.0,812895,2017
4,20397.0,16,PSA Airlines Inc.,0.0,0,2015
8,20007.0,5Y,Atlas Air Inc.,35702518.0,80900685,2015
3,21634.0,KH,Aloha Air Cargo,419295.0,754295,2015
10,21492.0,1BQ,"Dynamic Airways, LLC",111378.0,330754,2017
6,21492.0,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",74296.0,271153,2019
4,20310.0,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",215268.0,27465,2017
7,20453.0,ABX,ABX Air Inc,158928.0,0,2019
12,20108.0,NC,Northern Air Cargo Inc.,461368.0,954376,2017
