,month,airline_id,carrier,total_gallons,total_cost,year
0,1,21352.0,0WQ,210112.0,536455,2016
1,1,20408.0,5V,284362.0,569497,2016
2,1,19917.0,5X,60969000.0,65339000,2016
3,1,20007.0,5Y,24809190.0,44370847,2016
4,1,19874.0,8C,749252.0,1897501,2016
5,1,20190.0,9S,6098523.0,12806900,2016
6,1,19805.0,AA,282748633.0,317344085,2016
7,1,20453.0,ABX,193054.0,461092,2016
8,1,19930.0,AS,37667477.0,47152571,2016
9,1,20409.0,B6,60623708.0,70537499,2016
10,1,19790.0,DL,260151248.0,354719002,2016
11,1,21650.0,EE,375040.0,495052,2016
12,1,20366.0,EV,81827.0,159104,2016
13,1,20436.0,F9,16155531.0,16445664,2016
14,1,20107.0,FX,88713921.0,96498000,2016
15,1,20368.0,G4,12264170.0,15650180,2016
16,1,20166.0,GFQ,131560.0,211459,2016
17,1,20402.0,GL,685968.0,1248259,2016
18,1,19690.0,HA,19966717.0,23242004,2016
19,1,20310.0,K8,89102.0,227505,2016
20,1,20370.0,KAQ,3460627.0,5481337,2016
21,1,21634.0,KH,413456.0,434504,2016
22,1,20372.0,KLQ,137646.0,238552,2016
23,1,20169.0,L2,252782.0,390317,2016
24,1,20151.0,M6,1791448.0,2191130,2016
25,1,20405.0,N8,775909.0,1497512,2016
26,1,20108.0,NC,446891.0,612335,2016
27,1,20416.0,NK,23516807.0,29253557,2016
28,1,20304.0,OO,5444514.0,8161174,2016
29,1,20177.0,PFQ,273735.0,512160,2016
30,1,20100.0,PO,14816197.0,18226279,2016
31,1,20448.0,S5,3793819.0,3841009,2016
32,1,20422.0,SY,5180480.0,6822690,2016
33,1,20447.0,U7,231214.0,277945,2016
34,1,19977.0,UA,240229795.0,277726020,2016
35,1,21171.0,VX,14194685.0,16279748,2016
36,1,20308.0,WE,449711.0,537169,2016
37,1,20287.0,WP,97142.0,116920,2016
38,1,20377.0,X9,2761585.0,7918432,2016
39,1,20207.0,XP,759821.0,1291407,2016
40,1,20452.0,YX,12732476.0,14986287,2016
41,1,20046.0,ZW,6016332.0,7953100,2016
42,1,19393.0,WN,154506208.0,277711435,2016
43,2,21161.0,09Q,328697.0,673205,2016
44,2,21352.0,0WQ,181507.0,466156,2016
45,2,20408.0,5V,287095.0,619519,2016
46,2,19917.0,5X,54502000.0,55087000,2016
47,2,20007.0,5Y,25226278.0,44439422,2016
48,2,19874.0,8C,677052.0,1845258,2016
49,2,20190.0,9S,4928643.0,10350150,2016
50,2,19805.0,AA,266861016.0,281410386,2016
51,2,20453.0,ABX,252917.0,554065,2016
52,2,19930.0,AS,35531494.0,42171313,2016
53,2,20409.0,B6,58151853.0,66340295,2016
54,2,19790.0,DL,244665334.0,328807596,2016
55,2,21650.0,EE,391360.0,540077,2016
56,2,20366.0,EV,76666.0,178088,2016
57,2,20436.0,F9,15240623.0,14937147,2016
58,2,20107.0,FX,84288159.0,87984000,2016
59,2,20368.0,G4,12815963.0,16053275,2016
60,2,20166.0,GFQ,130011.0,221208,2016
61,2,20402.0,GL,666446.0,1161614,2016
62,2,19690.0,HA,18180766.0,20030171,2016
63,2,20310.0,K8,36971.0,93306,2016
64,2,20370.0,KAQ,2811192.0,4243298,2016
65,2,21629.0,KD,18351.0,18351,2016
66,2,21634.0,KH,412808.0,427991,2016
67,2,20372.0,KLQ,94537.0,174762,2016
68,2,20169.0,L2,199100.0,295949,2016
69,2,20151.0,M6,1787901.0,2193379,2016
70,2,20405.0,N8,1006336.0,1931580,2016
71,2,20108.0,NC,377896.0,488580,2016
72,2,20416.0,NK,21981422.0,25893176,2016
73,2,20304.0,OO,5287524.0,7860757,2016
74,2,20177.0,PFQ,245619.0,412422,2016
75,2,20100.0,PO,11798892.0,12397956,2016
76,2,20448.0,S5,3082947.0,3177980,2016
77,2,20422.0,SY,5214769.0,6983134,2016
78,2,20447.0,U7,321944.0,389887,2016
79,2,19977.0,UA,228642695.0,242219657,2016
80,2,21171.0,VX,13417145.0,13790295,2016
81,2,20308.0,WE,119072.0,137952,2016
82,2,20287.0,WP,92320.0,87273,2016
83,2,20377.0,X9,3021324.0,7484138,2016
84,2,20207.0,XP,672345.0,1103899,2016
85,2,20452.0,YX,11730250.0,11499270,2016
86,2,20046.0,ZW,5867191.0,6239743,2016
87,2,19393.0,WN,145687543.0,253104358,2016
88,3,21161.0,09Q,551159.0,1276282,2016
89,3,21352.0,0WQ,12505.0,32637,2016
90,3,20408.0,5V,368114.0,815240,2016
91,3,19917.0,5X,65027000.0,71556000,2016
92,3,20007.0,5Y,28789377.0,50943407,2016
93,3,19874.0,8C,676465.0,1803446,2016
94,3,20190.0,9S,6502939.0,13656172,2016
95,3,19805.0,AA,305541690.0,340587052,2016
96,3,20453.0,ABX,312309.0,590264,2016
97,3,19930.0,AS,39596833.0,50345955,2016
98,3,20409.0,B6,64395121.0,77936475,2016
99,3,19790.0,DL,280976475.0,388472770,2016
100,3,21650.0,EE,473920.0,706141,2016
101,3,20366.0,EV,82715.0,194962,2016
102,3,20436.0,F9,16416821.0,17655232,2016
103,3,20107.0,FX,98487077.0,111339000,2016
104,3,20368.0,G4,16442818.0,22071234,2016
105,3,20166.0,GFQ,227116.0,368671,2016
106,3,20402.0,GL,715715.0,1339105,2016
107,3,19690.0,HA,19708114.0,23026945,2016
108,3,20310.0,K8,72598.0,204737,2016
109,3,20370.0,KAQ,2446627.0,4143115,2016
110,3,21629.0,KD,40542.0,40542,2016
111,3,21634.0,KH,458733.0,543848,2016
112,3,20372.0,KLQ,252913.0,457919,2016
113,3,20169.0,L2,248283.0,382815,2016
114,3,20151.0,M6,1806465.0,2352384,2016
115,3,20405.0,N8,777659.0,1360404,2016
116,3,20108.0,NC,412385.0,566931,2016
117,3,20416.0,NK,20051000.0,30833796,2016
118,3,20304.0,OO,6067876.0,8768054,2016
119,3,20177.0,PFQ,273261.0,439064,2016
120,3,20100.0,PO,15723111.0,18059145,2016
121,3,20448.0,S5,4370846.0,4851196,2016
122,3,20422.0,SY,5946748.0,8363521,2016
123,3,20447.0,U7,563741.0,715495,2016
124,3,19977.0,UA,265337819.0,297964996,2016
125,3,21171.0,VX,15460169.0,17647757,2016
126,3,20287.0,WP,121341.0,132902,2016
127,3,20377.0,X9,2295678.0,5828855,2016
128,3,20207.0,XP,850482.0,1553618,2016
129,3,20452.0,YX,13995700.0,15033057,2016
130,3,20046.0,ZW,6588736.0,7498977,2016
131,3,19393.0,WN,172667623.0,283892879,2016
132,4,21161.0,09Q,379161.0,659432,2016
133,4,21352.0,0WQ,20098.0,52519,2016
134,4,20408.0,5V,343885.0,713613,2016
135,4,19917.0,5X,60333000.0,71180000,2016
136,4,20007.0,5Y,30876150.0,52278968,2016
137,4,19874.0,8C,658109.0,1506140,2016
138,4,20190.0,9S,6094992.0,12799483,2016
139,4,19805.0,AA,292255226.0,350930021,2016
140,4,20453.0,ABX,161669.0,320880,2016
141,4,19930.0,AS,38598758.0,51784926,2016
142,4,20409.0,B6,62428968.0,79388437,2016
143,4,19790.0,DL,279599419.0,429540020,2016
144,4,21650.0,EE,318400.0,493520,2016
145,4,20366.0,EV,77831.0,220371,2016
146,4,20436.0,F9,16071313.0,18771877,2016
147,4,20107.0,FX,92095004.0,109719000,2016
148,4,20368.0,G4,13408496.0,18602361,2016
149,4,20166.0,GFQ,193760.0,346865,2016
150,4,20402.0,GL,570483.0,1040447,2016
151,4,19690.0,HA,18932506.0,23223634,2016
152,4,20310.0,K8,42477.0,83136,2016
153,4,20370.0,KAQ,3651174.0,5678439,2016
154,4,21629.0,KD,7812.0,7812,2016
155,4,21634.0,KH,417640.0,518317,2016
156,4,20372.0,KLQ,156202.0,306969,2016
157,4,20169.0,L2,195894.0,310424,2016
158,4,20151.0,M6,1858471.0,2499195,2016
159,4,20405.0,N8,1389500.0,2582856,2016
160,4,20108.0,NC,463105.0,675295,2016
161,4,20416.0,NK,24715453.0,32468178,2016
162,4,20304.0,OO,6079389.0,9365067,2016
163,4,20177.0,PFQ,283134.0,504738,2016
164,4,20100.0,PO,14717190.0,18574019,2016
165,4,20448.0,S5,2625542.0,3036717,2016
166,4,20422.0,SY,4830126.0,6928390,2016
167,4,20447.0,U7,481875.0,636529,2016
168,4,19977.0,UA,257893397.0,308674504,2016
169,4,21171.0,VX,15640812.0,18384609,2016
170,4,20287.0,WP,126195.0,160992,2016
171,4,20377.0,X9,2878007.0,5999885,2016
172,4,20207.0,XP,577352.0,1066424,2016
173,4,20452.0,YX,12792878.0,14688177,2016
174,4,20046.0,ZW,6281133.0,7769570,2016
175,4,19393.0,WN,166117580.0,262687589,2016
176,5,21161.0,09Q,318452.0,394296,2016
177,5,21352.0,0WQ,23873.0,67800,2016
178,5,21492.0,1BQ,34091.0,543913,2016
179,5,20408.0,5V,338719.0,794232,2016
180,5,19917.0,5X,61474000.0,79522000,2016
181,5,20007.0,5Y,29633766.0,51980923,2016
182,5,19874.0,8C,799411.0,1451021,2016
183,5,20190.0,9S,6307554.0,13245863,2016
184,5,19805.0,AA,313190128.0,407824957,2016
185,5,20453.0,ABX,74254.0,140340,2016
186,5,19930.0,AS,39132120.0,57737641,2016
187,5,20409.0,B6,63549584.0,91789656,2016
188,5,19790.0,DL,299428448.0,452129965,2016
189,5,21650.0,EE,308960.0,525232,2016
190,5,20366.0,EV,85605.0,198677,2016
191,5,20436.0,F9,17174618.0,22422890,2016
192,5,20107.0,FX,89515467.0,118473000,2016
193,5,20368.0,G4,13615505.0,21056684,2016
194,5,20166.0,GFQ,218880.0,413304,2016
195,5,20402.0,GL,538444.0,1019436,2016
196,5,19690.0,HA,19669417.0,26366779,2016
197,5,20310.0,K8,59314.0,153656,2016
198,5,20370.0,KAQ,2070043.0,3414633,2016
199,5,21629.0,KD,14921.0,14921,2016
200,5,21634.0,KH,420758.0,575838,2016
201,5,20372.0,KLQ,235564.0,490933,2016
202,5,20169.0,L2,240210.0,435203,2016
203,5,20151.0,M6,1759865.0,2658880,2016
204,5,20405.0,N8,666666.0,1187346,2016
205,5,20108.0,NC,466942.0,740895,2016
206,5,20416.0,NK,26414317.0,39436237,2016
207,5,20304.0,OO,6375164.0,10830449,2016
208,5,20177.0,PFQ,297367.0,576633,2016
209,5,20100.0,PO,15578133.0,21066984,2016
210,5,20448.0,S5,2922167.0,3854389,2016
211,5,20422.0,SY,3821647.0,6158128,2016
212,5,20447.0,U7,459556.0,674901,2016
213,5,19977.0,UA,281394904.0,370830564,2016
214,5,21171.0,VX,16414177.0,21737449,2016
215,5,20308.0,WE,329399.0,503652,2016
216,5,20287.0,WP,128211.0,177108,2016
217,5,20377.0,X9,2129372.0,2884278,2016
218,5,20207.0,XP,556146.0,1073362,2016
219,5,20452.0,YX,11820783.0,14889666,2016
220,5,20046.0,ZW,6510272.0,8792834,2016
221,5,19393.0,WN,170290207.0,285523831,2016
222,6,21352.0,0WQ,26382.0,82048,2016
223,6,20408.0,5V,398853.0,995143,2016
224,6,19917.0,5X,64673000.0,91738000,2016
225,6,20007.0,5Y,30154889.0,54178071,2016
226,6,19874.0,8C,727092.0,1391446,2016
227,6,20190.0,9S,6199687.0,13019344,2016
228,6,19805.0,AA,325213057.0,460306736,2016
229,6,20453.0,ABX,41106.0,68116,2016
230,6,19930.0,AS,40343833.0,65645569,2016
231,6,20409.0,B6,65324308.0,102954211,2016
