departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
22,6534,6096,5681,0,TP,19576,12991,LIS,14771,SFO,6,824,2019,7
2,140,31,517,150,OO,20304,11292,DEN,14794,SGU,6,631,2018,12
30,1500,1215,100,738,C5,20445,12264,IAD,14524,RIC,6,675,2018,11
1,50,45,977,179,AX,20237,12339,IND,11292,DEN,6,675,2018,4
58,3734,2591,240,2365,OH,20397,13930,ORD,11267,DAY,6,631,2018,4
120,6000,5421,300,5706,AX,20237,11292,DEN,14457,RAP,6,675,2018,12
3,429,338,651,271,WN,19393,13495,MSY,11032,CUN,6,612,2019,7
3,228,218,588,254,YX,20452,16271,YYZ,11057,CLT,6,673,2018,5
27,1350,1161,139,773,OO,20304,13930,ORD,13367,MLI,6,629,2018,6
30,480,154,331,0,3SD,21674,14843,SJU,14278,PTP,4,441,2018,8
82,5330,4567,245,4060,OH,20397,10990,CHO,11057,CLT,6,631,2019,10
2,0,0,592,174,AS,19930,14828,SIT,10299,ANC,6,612,2019,11
1,9,9,181,63,8V,20333,11214,CXF,11630,FAI,4,416,2019,8
2,300,290,290,109,AA,19805,13931,ORF,11057,CLT,6,694,2018,8
29,2204,1388,463,2112,YX,20452,13930,ORD,11775,FSD,6,673,2018,12
31,5146,4881,2253,8483,UA,19977,14679,SAN,12264,IAD,6,614,2018,7
7,1260,930,920,786,G4,20368,10423,AUS,14112,PIE,6,694,2018,2
5,565,545,2041,0,WS,20229,16257,YYC,12478,JFK,6,633,2019,3
8,1200,1007,2429,2674,UA,19977,11618,EWR,16229,YVR,6,694,2019,9
1,175,160,405,62,WN,19393,13232,MDW,13198,MCI,6,838,2018,12
23,4025,3898,1075,3279,WN,19393,13342,MKE,15304,TPA,6,614,2019,10
1,0,0,335,78,GFQ,20166,14730,SDF,11057,CLT,7,715,2018,2
38,4712,1831,680,3582,AS,19930,12819,KTN,14747,SEA,6,612,2018,1
12,2736,2401,1117,1747,NK,20416,11697,FLL,11164,CTG,6,699,2019,2
15,4365,4230,6025,0,DY,21579,12892,LAX,10517,BCN,6,887,2018,6
1,119,101,1514,193,AS,19930,12889,LAS,13930,ORD,6,698,2019,8
1,189,138,450,58,SY,20422,11726,FOE,12228,HUF,6,614,2019,8
30,9611,8035,967,3422,UA,19977,14771,SFO,11292,DEN,6,627,2018,12
44,3036,2236,618,4206,YX,20452,12953,LGA,11986,GRR,6,677,2019,6
30,1500,889,257,1483,OO,20304,12335,IMT,13487,MSP,6,629,2019,4
6,1122,779,843,674,AA,19805,14683,SAT,14107,PHX,6,699,2019,7
58,522,161,28,1218,MW,21242,13830,OGG,12174,HNM,4,416,2018,1
86,13760,11580,361,5210,AA,19805,10821,BWI,11057,CLT,6,614,2018,5
84,12,0,122,0,14Q,21439,10559,BFI,16229,YVR,6,669,2019,5
1,0,0,77,20,H6,20336,10304,ANI,10313,ANV,4,405,2018,2
1,166,147,594,96,G4,20368,14574,ROA,14761,SFB,6,655,2018,1
24,3984,3622,826,2289,UA,19977,11292,DEN,13485,MSN,6,614,2018,10
5,875,739,1136,781,WN,19393,14307,PVD,15304,TPA,6,614,2019,9
30,5400,4134,2176,8775,NK,20416,14100,PHL,12889,LAS,6,694,2018,1
31,2170,1961,476,2101,YV,20378,12339,IND,12264,IAD,6,631,2019,3
13,2340,2158,1072,1836,F9,20436,13204,MCO,14307,PVD,6,694,2018,7
147,11172,9376,954,20196,CP,21167,12892,LAX,14747,SEA,6,673,2019,5
1,0,0,1401,155,U7,20447,11540,ELP,11871,GDC,7,715,2018,5
1,50,46,888,129,MQ,20398,15016,STL,12953,LGA,6,675,2019,6
84,14700,12103,1184,14037,WN,19393,11278,DCA,11259,DAL,6,614,2018,10
3,507,494,2447,924,UA,19977,14771,SFO,12982,LIH,6,622,2018,5
1,50,0,699,101,EV,20366,11193,CVG,12278,ICT,6,675,2018,9
1,8,0,57,19,H6,20336,13970,OTZ,11411,DRG,1,194,2019,1
91,21000,16461,862,10863,UA,19977,11292,DEN,12892,LAX,6,623,2018,12
2,358,229,446,143,09Q,21161,13796,OAK,14679,SAN,6,617,2018,3
1,9,4,320,48,3EQ,21974,14771,SFO,15618,VNY,6,609,2019,11
36,6300,5086,1164,4924,WN,19393,14679,SAN,10423,AUS,6,614,2018,1
0,0,0,140,0,KO,20341,10245,AKN,14273,PTH,4,405,2018,4
7,350,268,616,586,OO,20304,11292,DEN,15919,XNA,6,629,2018,6
13,2418,2234,1984,3202,F9,20436,15304,TPA,12889,LAS,6,722,2018,7
1,6,0,73,39,1SQ,21570,14582,ROP,14955,SPN,0,79,2018,9
5,780,697,1111,786,G4,20368,15096,SYR,14112,PIE,6,698,2018,3
1,5,0,18,12,2O,20443,12721,KLN,12866,KYK,0,79,2018,5
22,4197,3774,594,1877,DL,19790,10397,ATL,11433,DTW,6,699,2018,4
