departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
1,187,138,1670,186,AA,19805,14107,PHX,11066,CMH,6,699,2018,12
82,4100,3550,691,7791,MQ,20398,11298,DFW,13367,MLI,6,675,2016,4
1,69,66,1158,141,YX,20452,13851,OKC,11278,DCA,6,677,2019,6
31,2139,1568,1304,4887,OO,20304,10372,ASE,10397,ATL,6,631,2018,3
5,930,649,872,635,F9,20436,13244,MEM,11292,DEN,6,722,2019,4
2,100,93,290,100,OO,20304,14869,SLC,10713,BOI,6,629,2015,11
1,160,157,1069,227,AA,19805,12889,LAS,14683,SAT,6,614,2019,5
1,0,0,1288,160,U7,20447,14057,PDX,11540,ELP,6,640,2018,8
23,0,0,223,858,5X,19917,11540,ELP,10140,ABQ,6,691,2017,8
27,2052,2012,844,3339,YV,20378,12339,IND,12266,IAH,6,673,2018,7
1,175,113,2236,300,WN,19393,14831,SJC,14122,PIT,6,614,2017,2
1,0,0,44,19,7S,20330,13369,MLL,12807,KSM,4,412,2018,4
2,0,0,391,118,5X,19917,11292,DEN,14869,SLC,6,622,2017,5
1,9,5,399,64,LF,21635,11421,DSI,12574,TN8,6,609,2018,1
1,76,53,440,59,9E,20363,11433,DTW,16149,YOW,6,638,2016,11
12,1992,1596,895,1500,G4,20368,14112,PIE,14783,SGF,6,655,2015,12
25,1625,1370,950,3618,EV,20366,16217,YUL,13487,MSP,6,631,2016,10
24,1680,1561,1167,3713,YX,20452,13495,MSY,11618,EWR,6,677,2016,4
9,1494,1389,920,1104,G4,20368,14761,SFB,10434,AVP,6,655,2015,3
2,256,235,1006,252,UA,19977,12266,IAH,14832,SJD,6,698,2019,8
7,1001,675,328,359,WN,19393,10693,BNA,11057,CLT,6,619,2017,1
43,5074,3881,413,2454,UA,19977,13930,ORD,14122,PIT,6,612,2016,4
12,384,213,187,672,3M,20401,13289,MHH,14027,PBI,4,456,2018,12
7,0,0,1774,1640,5X,19917,14512,RFD,13796,OAK,6,691,2015,12
1,76,74,220,49,EV,20366,11003,CID,13487,MSP,6,638,2017,3
12,0,0,1950,2631,5X,19917,14057,PDX,14730,SDF,6,622,2019,10
1,124,114,1216,158,AS,19930,15376,TUS,14747,SEA,6,612,2019,8
1,173,0,355,65,GL,20402,14492,RDU,12945,LEX,6,614,2019,1
1,187,184,474,117,AA,19805,14730,SDF,11278,DCA,6,699,2019,10
20,3600,3232,985,2891,F9,20436,15356,TTN,14027,PBI,6,694,2018,2
19,171,67,49,358,8E,20331,14895,SMK,15478,UNK,4,415,2019,9
56,4256,3788,468,3863,YV,20378,12266,IAH,13244,MEM,6,673,2018,1
98,14601,12269,761,9296,DL,19790,13851,OKC,10397,ATL,6,655,2018,11
63,3150,2476,77,1209,C5,20445,12264,IAD,10990,CHO,6,675,2018,8
28,1400,1197,744,2980,EV,20366,10140,ABQ,12266,IAH,6,675,2015,5
4,36,16,86,142,8V,20333,12235,HUS,15124,TAL,4,416,2019,11
1,230,134,1041,144,F9,20436,11986,GRR,15304,TPA,6,699,2019,4
